time,flux,e_flux
1386.0801051604956,10341.766,13.753916
1386.0884387498343,10353.589,13.752355
1386.0967723391745,10362.855,13.753434
1386.105105928049,10359.499,13.755412
1386.113439516922,10391.898,13.770625
1386.1217731057964,10341.37,13.753208
1386.1301066942037,10368.387,13.762933
1386.1384402830781,10385.078,13.772969
1386.1467738710214,10382.747,13.770405
1386.1551074594288,10370.926,13.766404
1386.1634410473712,10366.744,13.762165
1386.1717746353143,10379.174,13.77214
1386.1801082227903,10361.0625,13.758768
1386.188441810268,10387.596,13.768009
1386.196775397744,10380.614,13.771074
1386.2051089852207,10374.145,13.759224
1386.2134425722325,10378.126,13.760103
1386.221776159243,10389.148,13.773024
1386.2301097462548,10346.022,13.7568865
1386.238443332801,10384.5205,13.771036
1386.2467769193458,10347.0625,13.760579
1386.255110505892,10361.429,13.769472
1386.2634440919717,10394.323,13.769321
1386.2717776780514,10383.853,13.765368
1386.2801112641314,10388.087,13.765401
1386.2884448497448,10336.475,13.750775
1386.2967784358252,10387.74,13.770428
1386.3051120209743,10346.079,13.752943
1386.3134456065877,10346.863,13.747828
1386.3217791917364,10359.306,13.760791
1386.3301127768855,10359.702,13.759969
1386.3384463620332,10368.26,13.765247
1386.3467799467167,10362.956,13.760043
1386.3551135313994,10343.215,13.752788
1386.3634471160822,10321.74,13.749233
1386.3717807003002,10307.557,13.753516
1386.3801142845166,10347.722,13.757588
1386.3884478687344,10422.732,13.790399
1386.3967814524867,10388.435,13.7797985
1386.4051150362366,10379.985,13.773254
1386.413448619989,10320.16,13.741483
1386.421782203741,10332.437,13.7508955
1386.4301157870264,10311.819,13.7375965
1386.4384493703128,10321.741,13.74082
1386.4467829531322,10303.542,13.740758
1386.455116536418,10327.465,13.748391
1386.4634501192388,10289.664,13.725966
1386.4717837015928,10290.264,13.734677
1386.4801172844136,10284.397,13.726241
1386.4884508667687,10319.043,13.7402315
1386.4967844491225,10306.207,13.7354145
1386.505118031012,10395.982,13.774572
1386.5134516129015,10287.884,13.7286005
1386.5217851947891,10274.832,13.729366
1386.5301187766786,10293.277,13.736283
1386.5384523581017,10280.184,13.718399
1386.5467859395249,10269.963,13.728199
1386.555119520483,10265.075,13.719795
1386.563453101905,10268.393,13.728902
1386.5717866828631,10271.99,13.726072
1386.5801202638213,10287.06,13.730776
1386.5884538443124,10290.667,13.726977
1386.5967874248051,10266.762,13.723151
1386.6051210052976,10291.4795,13.739165
1386.613454585323,10266.836,13.718821
1386.6217881658158,10261.965,13.713833
1386.6301217458426,10267.2295,13.723384
1386.6384553254024,10241.309,13.706912
1386.6467889054286,10280.746,13.7327385
1386.655122484989,10278.317,13.726115
1386.6634560640841,10290.5205,13.727059
1386.6717896436453,10264.7705,13.721066
1386.6801232227388,10265.574,13.71735
1386.6884568018343,10272.201,13.722631
1386.6967903804643,10260.294,13.721825
1386.7051239595585,10244.269,13.717877
1386.7134575381883,10291.2705,13.725431
1386.7217911163525,10270.137,13.724574
1386.730124694981,10280.978,13.73427
1386.7384582731452,10277.775,13.728872
1386.746791850844,10254.094,13.7246065
1386.7551254290067,10279.719,13.724458
1386.7634590067046,10291.832,13.738683
1386.771792584403,10322.597,13.742696
1386.7815150914066,10263.44,13.736419
1386.7898486686395,10259.004,13.738496
1386.7981822458719,10269.117,13.725083
1386.8065158231034,10292.36,13.730876
1386.8148493998706,10290.407,13.72908
1386.8231829766364,10277.413,13.7407
1386.8315165534036,10295.462,13.733385
1386.8398501297047,10272.593,13.729224
1386.8481837064705,10319.612,13.758903
1386.8565172823064,10329.326,13.752383
1386.864850858608,10300.909,13.747374
1386.8731844344425,10321.521,13.749421
1386.8815180102786,10307.567,13.743139
1386.8898515861144,10336.657,13.758412
1386.8981851614833,10357.785,13.764917
1386.9065187368537,10351.901,13.763067
1386.914852312224,10374.638,13.777224
1386.9231858875921,10352.244,13.767586
1386.9315194624967,10315.203,13.748744
1386.9398530374015,10390.8955,13.792026
1386.9481866123047,10377.378,13.773009
1386.9565201867435,10385.29,13.77956
1386.9648537611818,10386.792,13.775787
1386.9731873356193,10403.464,13.788227
1386.9815209095927,10385.556,13.781905
1386.9912434128707,10417.203,13.787695
1386.999576986844,10404.72,13.781239
1387.0079105603509,10401.267,13.779476
1387.016244133857,10395.515,13.793533
1387.0245777073649,10397.313,13.787096
1387.0329112808724,10390.636,13.77981
1387.0412448539132,10383.425,13.776571
1387.0495784274208,10392.436,13.786687
1387.057911999997,10388.371,13.780911
1387.0662455730376,10365.506,13.774314
1387.0745791456138,10396.511,13.7904415
1387.0829127181896,10389.259,13.78453
1387.0912462907645,10408.651,13.789292
1387.099579862875,10381.766,13.790789
1387.1079134349857,10394.389,13.787887
1387.116247007095,10373.709,13.7778635
1387.1245805787394,10374.792,13.782898
1387.13291415085,10375.796,13.779659
1387.1412477224935,10388.326,13.791302
1387.1495812936728,10388.733,13.792959
1387.1579148653177,10354.946,13.768551
1387.1662484364958,10384.799,13.780194
1387.1745820072094,10368.699,13.778094
1387.1829155783887,10357.276,13.772771
1387.1912491491012,10343.504,13.77062
1387.1995827198148,10343.254,13.760766
1387.2079162905277,10330.269,13.758951
1387.2162498607743,10331.656,13.753469
1387.2245834310222,10344.119,13.776702
1387.2329170012704,10337.763,13.764978
1387.2412505710506,10316.818,13.752262
1387.2495841412986,10340.93,13.752907
1387.2579177110808,10309.602,13.753314
1387.2662512803963,10312.29,13.752469
1387.2745848501786,10284.016,13.742595
1387.2829184194952,10317.55,13.747476
1387.2912519883448,10295.313,13.740879
1387.2995855576614,10303.0625,13.747116
1387.309308054886,10293.548,13.737959
1387.3204194800205,10246.351,13.72577
1387.3287530484051,10301.323,13.742102
1387.3384755451639,10299.664,13.742018
1387.3468091130837,10264.955,13.735855
1387.3565316093777,10277.324,13.750758
1387.3648651777617,10271.223,13.732466
1387.3731987456813,10270.207,13.7345
1387.3815323131353,10253.147,13.728278
1387.3898658810535,10273.46,13.724852
1387.3995883764162,10235.975,13.717756
1387.4079219438702,10270.378,13.732022
1387.4162555108574,10260.756,13.730341
1387.4245890783113,10227.462,13.714603
1387.4329226452996,10263.995,13.718846
1387.441256211821,10277.297,13.734011
1387.4495897788088,10251.541,13.720344
1387.4579233453314,10252.933,13.727476
1387.4662569118527,10261.387,13.731855
1387.4745904779097,10252.549,13.731524
1387.4829240444317,10240.853,13.72581
1387.4912576104875,10270.468,13.739428
1387.4995911760789,10242.403,13.721571
1387.5079247421359,10250.4,13.721601
1387.5162583077258,10282.114,13.742104
1387.5245918733171,10291.661,13.750521
1387.5329254384428,10257.844,13.7302
1387.541259004033,10264.095,13.732056
1387.5495925691587,10271.647,13.738507
1387.5579261342843,10260.24,13.730174
1387.5662596989423,10268.844,13.7298
1387.5745932636023,10285.525,13.737558
1387.5829268282625,10294.536,13.744429
1387.5912603929212,10317.615,13.760339
1387.5995939571158,10291.588,13.749235
1387.6079275217749,10282.411,13.732583
1387.6162610855024,10295.843,13.748525
1387.6245946496967,10301.219,13.74745
1387.6329282134254,10303.541,13.746748
1387.6412617771534,10311.24,13.747875
1387.6495953408817,10305.339,13.756609
1387.6579289041447,10280.769,13.741944
1387.6662624678727,10306.518,13.744629
1387.6745960306694,10292.636,13.750028
1387.6829295939324,10298.301,13.745395
1387.6912631567293,10305.462,13.755398
1387.6995967195253,10294.219,13.756781
1387.7079302823226,10323.29,13.767529
1387.71626384512,10325.772,13.772134
1387.72459740745,10340.91,13.773847
1387.7329309697816,10311.168,13.760583
1387.7412645321133,10319.487,13.759306
1387.749598093978,10292.598,13.760046
1387.7676541446874,10322.054,13.760664
1387.7759877065523,10325.486,13.77388
1387.7843212679527,10339.974,13.774149
1387.792654829353,10314.901,13.76152
1387.800988390752,10358.673,13.777894
1387.8093219516868,10360.785,13.770069
1387.8176555126215,10370.879,13.774313
1387.825989073555,10365.327,13.780742
1387.8343226344898,10371.955,13.778927
1387.842656194959,10376.494,13.790652
1387.8509897554268,10360.858,13.77979
1387.8593233158952,10370.354,13.7929945
1387.8676568758985,10392.742,13.787363
1387.8759904363676,10382.56,13.786079
1387.884323996369,10404.382,13.80362
1387.8926575559067,10393.804,13.799089
1387.9009911159103,10396.89,13.794798
1387.9093246754467,10386.083,13.799566
1387.9176582349846,10384.464,13.793142
1387.9259917940567,10380.746,13.797022
1387.934325353593,10395.946,13.806627
1387.9426589126651,10420.704,13.80826
1387.9509924717372,10392.578,13.796405
1387.9593260303423,10391.25,13.785878
1387.9676595889482,10384.932,13.792306
1387.9759931475546,10416.258,13.817107
1387.9843267061603,10391.991,13.803188
1387.992660264766,10383.549,13.792365
1388.0009938229068,10371.898,13.792876
1388.0093273810471,10374.514,13.786738
1388.0176609387208,10402.504,13.787924
1388.0259944968616,10373.3,13.798053
1388.0343280545367,10401.896,13.809077
1388.0426616122106,10368.372,13.796457
1388.05099516942,10361.826,13.789239
1388.0593287266295,10433.165,13.818674
1388.0676622838378,10377.176,13.788289
1388.0759958410472,10369.83,13.791282
1388.084329398256,10327.104,13.773957
1388.0926629549983,10363.126,13.782034
1388.100996511742,10352.891,13.790368
1388.1093300680204,10363.6455,13.787111
1388.1176636247642,10328.557,13.774421
1388.1259971810402,10342.457,13.778787
1388.1343307373184,10327.242,13.761361
1388.142664293131,10308.367,13.767349
1388.1509978494078,10281.194,13.747358
1388.1593314052202,10279.089,13.755717
1388.167664960567,10287.402,13.749231
1388.175998516378,10301.535,13.766705
1388.1843320717248,10294.327,13.754961
1388.1926656270718,10278.992,13.749041
1388.200999182418,10275.716,13.758959
1388.2093327372977,10241.109,13.73621
1388.2176662926445,10301.212,13.763185
1388.2259998470602,10262.956,13.754858
1388.23433340194,10259.537,13.739001
1388.2426669563554,10238.657,13.736504
1388.2510005112358,10265.976,13.741347
1388.2593340651842,10234.95,13.739911
1388.2676676196,10224.377,13.726699
1388.2760011735497,10213.576,13.7209835
1388.2843347274988,10234.778,13.730296
1388.2926682814482,10215.082,13.718372
1388.301001835398,10210.89,13.718236
1388.3093353888821,10186.7295,13.71975
1388.317668942365,10197.759,13.724589
1388.326002495383,10197.085,13.713885
1388.334336048867,10247.222,13.73727
1388.3426696018842,10209.952,13.721823
1388.3510031549026,10246.804,13.731959
1388.359336707921,10242.538,13.737824
1388.3676702604726,10227.447,13.729943
1388.376003813025,10224.02,13.732667
1388.3843373655777,10237.297,13.732176
1388.3926709181305,10238.616,13.72235
1388.4010044702163,10241.131,13.728287
1388.4093380223037,10240.86,13.736383
1388.4176715743909,10233.381,13.726269
1388.426005126011,10230.06,13.729578
1388.4343386780984,10254.971,13.75609
1388.4426722297198,10246.458,13.738973
1388.451005780875,10274.768,13.763557
1388.4593393324951,10255.784,13.740498
1388.467672883651,10242.623,13.744389
1388.476006434807,10268.911,13.749518
1388.4843399859608,10289.946,13.751313
1388.492673536651,10284.054,13.760873
1388.5010070873411,10340.84,13.779591
1388.5093406380306,10314.44,13.761384
1388.5176741887203,10289.609,13.759712
1388.5260077389448,10294.589,13.772008
1388.5343412891693,10305.689,13.760935
1388.5426748393925,10330.269,13.772931
1388.5510083891513,10305.7295,13.767104
1388.559341939376,10309.664,13.767794
1388.5676754891329,10321.698,13.778172
1388.5760090388917,10356.829,13.787886
1388.5843425881849,10325.633,13.770531
1388.5926761374783,10370.1,13.810351
1388.60100968677,10355.902,13.788156
1388.6093432360626,10381.96,13.804148
1388.6176767853558,10332.234,13.777642
1388.626010334182,10339.803,13.781415
1388.6343438830097,10343.028,13.793656
1388.6426774318372,10341.721,13.780258
1388.651010980199,10336.544,13.784682
1388.6593445285598,10365.383,13.787765
1388.6676780769217,10355.361,13.790446
1388.6760116252835,10355.031,13.788263
1388.6843451731784,10350.947,13.793724
1388.6926787210741,10338.159,13.792959
1388.7010122689703,10358.066,13.791442
1388.7093458168665,10356.798,13.794119
1388.7176793642957,10357.798,13.789509
1388.7260129117255,10399.559,13.812336
1388.7343464591563,10365.099,13.797856
1388.7426800065855,10380.875,13.80637
1388.7510135535504,10382.255,13.814524
1388.7593471005152,10383.664,13.806519
1388.7676806474801,10395.6455,13.809285
1388.7760141939782,10426.165,13.820095
1388.784347740943,10394.889,13.816962
1388.7926812874423,10379.92,13.810282
1388.8010148334747,10373.366,13.80319
1388.809348379973,10401.11,13.810756
1388.8176819260068,10364.4375,13.80099
1388.8260154720404,10390.099,13.813727
1388.8343490180725,10392.584,13.807678
1388.8426825636407,10376.463,13.802242
1388.8510161092079,10386.429,13.805549
1388.8593496547744,10394.926,13.814286
1388.8690721245262,10385.182,13.809968
1388.8774056700943,10401.496,13.819157
1388.8857392151958,10411.057,13.823925
1388.8940727602967,10376.925,13.807367
1388.9024063049333,10385.651,13.8013935
1388.9107398500357,10415.21,13.822697
1388.919073394671,10377.059,13.807461
1388.9274069388418,10392.582,13.810825
1388.9357404834786,10378.968,13.809325
1388.9440740276495,10367.569,13.795907
1388.952407571819,10404.287,13.8108225
1388.96074111599,10338.351,13.791224
1388.9690746601605,10370.101,13.795867
1388.9774082038648,10336.578,13.782504
1388.9857417475696,10343.931,13.788582
1388.9940752912748,10341.622,13.78842
1389.00240883498,10342.59,13.777756
1389.0107423782179,10320.096,13.779702
1389.0190759214574,10311.054,13.780141
1389.027409464697,10320.078,13.774712
1389.035743007471,10301.676,13.781568
1389.0440765502435,10307.558,13.772708
1389.0524100930174,10278.723,13.761559
1389.0607436357916,10302.756,13.764068
1389.0690771785642,10278.464,13.755217
1389.0774107208724,10281.179,13.758316
1389.085744263181,10271.967,13.757107
1389.0940778054885,10266.537,13.74741
1389.1024113473297,10237.714,13.742816
1389.1107448891723,10247.595,13.74078
1389.1190784310152,10242.42,13.743436
1389.1274119728569,10230.158,13.734411
1389.1357455142327,10260.747,13.745901
1389.1482458267637,10203.501,13.743332
1389.156579367675,10207.974,13.730388
1389.1649129090506,10198.425,13.720244
1389.173246449962,10167.23,13.719249
1389.1815799908734,10183.151,13.723846
1389.189913531784,10193.307,13.727266
1389.1982470726948,10182.635,13.718359
1389.2065806131397,10195.906,13.729956
1389.2149141535854,10166.253,13.722459
1389.2232476940296,10231.543,13.741066
1389.2315812344755,10214.82,13.733603
1389.2399147744554,10225.914,13.745338
1389.2482483144347,10195.293,13.734162
1389.2565818544133,10212.652,13.726255
1389.2649153939278,10209.73,13.733211
1389.2732489334421,10220.591,13.734679
1389.2815824729564,10211.217,13.730526
1389.2899160124693,10225.67,13.73557
1389.2982495519836,10234.443,13.749207
1389.3065830910323,10247.292,13.751235
1389.3149166300805,10234.348,13.735461
1389.3232501691284,10245.769,13.750754
1389.3315837077107,10265.565,13.759949
1389.3399172467593,10247.935,13.762853
1389.348250785341,10272.42,13.760699
1389.3565843234585,10272.796,13.761492
1389.3649178620415,10290.046,13.770531
1389.373251400158,10282.732,13.764107
1389.381584938274,10274.568,13.7637825
1389.3899184763916,10299.728,13.776686
1389.398252014509,10290.656,13.767225
1389.4065855521608,10307.004,13.778423
1389.414919089811,10305.317,13.783402
1389.424641550249,10323.612,13.783126
1389.432975087435,10344.6875,13.798615
1389.441308625086,10332.058,13.786458
1389.4496421622714,10344.944,13.797324
1389.4579756989917,10337.028,13.788963
1389.4663092361777,10326.586,13.788668
1389.474642772897,10327.829,13.790186
1389.4829763096172,10355.811,13.806527
