time,flux,e_flux
1389.491309846337,10357.784,13.811382
1389.4996433825916,10340.435,13.799363
1389.507976918845,10351.334,13.807405
1389.5163104550998,10352.417,13.801971
1389.5246439913544,10376.964,13.812574
1389.5329775276084,10348.281,13.805487
1389.542699986183,10382.073,13.822447
1389.5510335215065,10378.071,13.815014
1389.5593670572955,10342.163,13.805011
1389.5677005930838,10372.766,13.818118
1389.5760341284058,10376.954,13.811511
1389.5843676637294,10385.338,13.811923
1389.5927011990527,10357.629,13.810057
1389.6010347339106,10395.212,13.826507
1389.609368268767,10364.069,13.810075
1389.6190907259452,10360.485,13.804049
1389.6274242608029,10412.761,13.822988
1389.63575779566,10399.929,13.824838
1389.6440913300514,10409.647,13.840187
1389.6524248644434,10401.412,13.8249035
1389.66075839837,10385.18,13.823634
1389.6690919327607,10392.421,13.815723
1389.677425466687,10414.44,13.827163
1389.6857590006134,10381.335,13.820547
1389.694092534539,10359.953,13.808452
1389.7024260679987,10385.087,13.814235
1389.7107596014594,10408.9,13.835745
1389.71909313492,10400.553,13.825086
1389.72742666838,10372.695,13.824088
1389.7357602018396,10381.975,13.814803
1389.7440937348347,10385.725,13.819996
1389.7524272678297,10407.442,13.824405
1389.7607608008248,10374.572,13.817478
1389.7690943333528,10415.08,13.8290615
1389.7774278658821,10393.453,13.822263
1389.7857613984118,10410.614,13.833837
1389.7940949309411,10397.756,13.832096
1389.8024284634691,10369.509,13.81634
1389.8107619955322,10353.225,13.817062
1389.819095527596,10370.422,13.8049
1389.8274290596598,10350.761,13.806767
1389.8357625912565,10362.287,13.810298
1389.845485045176,10350.731,13.802256
1389.8538185767734,10360.435,13.814515
1389.8621521079058,10324.256,13.791342
1389.8704856395025,10342.196,13.801517
1389.8788191706349,10332.844,13.789579
1389.889930545478,10344.218,13.803752
1389.8982640766105,10321.536,13.789598
1389.906597607276,10292.595,13.786899
1389.9149311384085,10320.289,13.786789
1389.9246535904645,10284.139,13.770817
1389.9329871211312,10308.665,13.788178
1389.9413206517966,10274.677,13.779258
1389.9496541819976,10272.464,13.771946
1389.9593766335881,10255.461,13.772882
1389.9677101637894,10256.223,13.7591715
1389.9774326153783,10260.479,13.761616
1389.9871550669695,10241.493,13.755186
1389.995488596705,10227.455,13.755228
1390.003822125974,10267.268,13.764372
1390.012155655708,10224.121,13.750647
1390.020489184978,10231.942,13.753029
1390.0288227142478,10225.472,13.744494
1390.0385451649067,10237.217,13.761856
1390.0482676150996,10225.436,13.745432
1390.0566011443693,10205.377,13.742909
1390.0649346727077,10198.036,13.73471
1390.0732682015114,10200.399,13.737505
1390.0816017303148,10185.503,13.724885
1390.0899352586525,10231.173,13.751066
1390.098268786991,10175.981,13.71883
1390.1066023148637,10223.738,13.742558
1390.114935843201,10183.642,13.733588
1390.1232693710738,10208.853,13.735528
1390.1316028989468,10216.123,13.737996
1390.1399364268195,10221.648,13.741099
1390.1482699542253,10200.14,13.725155
1390.1566034816324,10220.413,13.740918
1390.1649370090395,10232.852,13.744051
1390.1732705364461,10217.119,13.734855
1390.1816040638519,10212.887,13.740191
1390.1899375907933,10223.861,13.754577
1390.1982711177347,10222.821,13.752936
1390.2066046446762,10254.252,13.762627
1390.2149381711502,10257.214,13.762206
1390.2232716980916,10264.87,13.768175
1390.2316052245674,10283.684,13.787931
1390.2413276719676,10318.687,13.784311
1390.249661198442,10293.473,13.77406
1390.267717171386,10291.018,13.78486
1390.2760506973962,10276.804,13.784232
1390.2843842234063,10274.537,13.767421
1390.2927177489487,10323.464,13.7951975
1390.3010512744934,10315.031,13.794396
1390.3093848000378,10316.0205,13.800402
1390.3177183255823,10354.387,13.809164
1390.32605185066,10346.705,13.815271
1390.3343853757387,10375.663,13.828717
1390.3427189008175,10370.029,13.828247
1390.3510524258963,10369.02,13.821438
1390.359385950508,10351.291,13.812842
1390.367719475587,10370.79,13.819841
1390.376052999734,10375.369,13.833739
1390.384386524347,10467.08,13.859404
1390.3927200489602,10387.666,13.834711
1390.4010535731063,10370.6455,13.82879
1390.4093870972533,10384.744,13.820034
1390.4177206214008,10385.043,13.8271265
1390.4260541455483,10423.252,13.848421
1390.4343876692287,10432.361,13.854413
1390.4427211929105,10424.877,13.849581
1390.4510547165926,10395.414,13.830625
1390.4593882402744,10398.039,13.83508
1390.4677217634892,10400.996,13.82998
1390.4760552867056,10383.129,13.821518
1390.4843888099217,10389.117,13.822575
1390.4927223331372,10385.676,13.827431
1390.5010558558877,10366.686,13.8124275
1390.5093893791027,10371.01,13.81649
1390.5177229018532,10373.894,13.812104
1390.526056424138,10373.635,13.825271
1390.5343899468878,10388.358,13.825381
1390.5427234691715,10365.58,13.816386
1390.5510569914563,10387.831,13.821107
1390.5593905137412,10370.9375,13.818489
1390.567724036026,10370.623,13.816276
1390.5760575578452,10397.269,13.823021
1390.584391079663,10382.578,13.819416
1390.5927246014824,10398.206,13.830692
1390.6010581233015,10387.736,13.829167
1390.6093916446544,10399.481,13.825777
1390.6177251664722,10399.887,13.8261
1390.626058687826,10363.973,13.815549
1390.6343922087137,10386.468,13.820197
1390.6427257300672,10389.723,13.834343
1390.6510592509544,10378.283,13.826157
1390.6593927718409,10366.316,13.834233
1390.667726292729,10372.046,13.816266
1390.6760598136168,10369.829,13.81736
1390.6843933340392,10385.697,13.824924
1390.69272685446,10362.7705,13.816926
1390.7010603748822,10360.389,13.803944
1390.7093938953044,10361.727,13.812359
1390.717727415261,10336.919,13.807063
1390.726060935683,10362.703,13.809531
1390.7343944556378,10366.939,13.816109
1390.7427279751287,10358.492,13.807296
1390.7510614950852,10346.732,13.802633
1390.759395014576,10347.406,13.80487
1390.7677285340665,10324.351,13.8007555
1390.776062053556,10326.554,13.7917385
1390.7843955730468,10326.378,13.799063
1390.792729092072,10301.479,13.791505
1390.8010626110972,10319.351,13.787043
1390.8093961301213,10326.332,13.790592
1390.8177296491465,10318.764,13.791805
1390.8260631681717,10317.915,13.787833
1390.8343966867315,10375.152,13.819077
1390.842730205291,10330.0205,13.797976
1390.8510637238485,10276.975,13.770553
1390.8593972419424,10284.443,13.774067
1390.8677307605021,10255.377,13.772321
1390.876064278596,10249.595,13.760909
1390.8843977966892,10234.497,13.747868
1390.892731314316,10236.819,13.751292
1390.9010648324102,10223.487,13.760277
1390.9093983500384,10218.786,13.73555
1390.9177318676666,10336.977,13.80614
1390.9260653852934,10263.632,13.759599
1390.934398902456,10221.156,13.740651
1390.9427324200842,10222.755,13.745091
1390.976066488267,10408.31,13.83157
1390.984400004964,10303.424,13.779608
1390.992733521661,10247.8125,13.758285
1391.0010670383579,10244.068,13.750318
1391.009400554587,10215.487,13.745892
1391.017734071284,10232.294,13.75572
1391.0260675875154,10257.83,13.755593
1391.034401103281,10284.819,13.771628
1391.0427346195115,10270.958,13.759093
1391.0510681357423,10277.596,13.766584
1391.0594016515079,10267.829,13.761077
1391.0677351672734,10241.829,13.756287
1391.0760686825734,10280.929,13.772906
1391.0844021983385,10279.334,13.766806
1391.092735713637,10284.827,13.766957
1391.101069228937,10291.181,13.770587
1391.1094027442368,10297.657,13.774867
1391.1177362595367,10288.903,13.762331
1391.1260697743696,10330.627,13.788139
1391.134403289669,10290.065,13.77589
1391.1427368045033,10303.361,13.771331
1391.151070318872,10324.525,13.789397
1391.1594038337062,10326.674,13.783097
1391.1677373480736,10323.15,13.779171
1391.1760708624422,10368.501,13.7908125
1391.184404376811,10328.106,13.7929125
1391.1927378911796,10347.587,13.793407
1391.2010714050825,10353.795,13.793989
1391.209404918984,10351.571,13.800327
1391.2177384328863,10396.918,13.815086
1391.2260719467895,10378.16,13.805756
1391.2344054606924,10384.798,13.811445
1391.2427389741297,10388.134,13.813352
1391.251072487565,10389.55,13.811814
1391.260794920064,10398.901,13.815027
1391.2691284330356,10377.549,13.816392
1391.2774619464728,10365.325,13.798063
1391.2857954594447,10376.322,13.804836
1391.2955178914758,10398.468,13.815016
1391.3038514039818,10373.692,13.808043
1391.3121849169534,10382.864,13.809799
1391.3205184294595,10393.743,13.809497
1391.3288519419655,10395.323,13.828673
1391.3371854544694,10445.045,13.834151
1391.3455189669753,10386.827,13.805892
1391.3538524790158,10404.924,13.821756
1391.362185991056,10392.1,13.817409
1391.3705195030964,10418.0625,13.825318
1391.3788530151355,10391.486,13.817845
1391.3871865271758,10382.429,13.807916
1391.3955200387504,10408.591,13.815859
1391.403853550325,10418.973,13.814034
1391.4121870618992,10396.78,13.813929
1391.4205205734725,10392.323,13.809252
1391.428854085047,10403.688,13.819864
1391.437187596156,10389.339,13.8153515
1391.445521107265,10397.212,13.822736
1391.4538546183735,10385.687,13.804452
1391.462188129481,10377.684,13.803464
1391.4705216401244,10383.824,13.807253
1391.4788551507677,10401.366,13.819649
1391.487188661411,10355.829,13.7981
1391.4955221720545,10426.652,13.831596
1391.5038556826971,10351.896,13.787045
1391.512189192874,10360.381,13.806529
1391.520522703052,10345.875,13.793071
1391.5288562132296,10364.657,13.795046
1391.5371897234065,10352.8,13.794983
1391.5455232331185,10364.658,13.799776
1391.5552456614253,10345.615,13.785035
1391.5635791711372,10329.134,13.784417
1391.5719126808485,10386.534,13.802345
1391.5802461905605,10339.61,13.782152
1391.5885796998068,10373.431,13.793228
1391.596913209052,10359.6875,13.805222
1391.605246718764,10364.109,13.795924
1391.613580227544,10362.959,13.796686
1391.6219137367902,10340.391,13.785154
1391.6302472455711,10332.656,13.778661
1391.638580754816,10351.998,13.781953
1391.6469142635967,10311.439,13.768414
1391.655247771912,10312.203,13.775613
1391.6635812806926,10302.337,13.766626
1391.6719147890076,10299.3,13.761254
1391.680248297322,10298.634,13.769034
1391.6885818056362,10299.926,13.760883
1391.6969153139507,10297.803,13.756655
1391.7052488222657,10302.625,13.767121
1391.713582330115,10274.212,13.760002
1391.7219158379644,10276.988,13.752679
1391.7302493458124,10256.9795,13.746142
1391.7385828536612,10274.927,13.755477
1391.746916361045,10259.542,13.742232
1391.7552498688942,10254.342,13.740672
1391.763583376278,10226.493,13.744539
1391.771916883661,10244.621,13.739174
1391.7802503905784,10247.358,13.737777
1391.788583897962,10256.691,13.745539
1391.7969174048803,10212.438,13.7247925
1391.806639829928,10229.523,13.73127
1391.8149733363803,10226.479,13.7306
1391.8260846790913,10200.411,13.723428
1391.8344181855437,10217.207,13.729492
1391.8427516919962,10214.202,13.73074
1391.851085198448,10217.82,13.7212105
1391.860807622565,10213.129,13.724062
1391.869141129016,10227.964,13.732506
1391.8774746350027,10209.786,13.726304
1391.8858081409894,10215.483,13.723193
1391.8941416469756,10222.232,13.724215
1391.9024751529623,10231.602,13.720496
1391.9108086584827,10245.696,13.736388
1391.9191421644687,10223.988,13.725433
1391.9274756699897,10227.093,13.733806
1391.935809175511,10211.579,13.719687
1391.9441426805663,10230.033,13.735998
1391.9524761860873,10238.962,13.735973
1391.9608096911415,10263.049,13.7396145
1391.969143196197,10258.644,13.74351
1391.9774767012516,10379.853,13.806208
1391.985810206307,10307.06,13.760046
1391.9941437113625,10252.601,13.742522
1392.0024772159522,10313.349,13.769493
1392.0108107205406,10271.88,13.74628
1392.0191442251296,10292.889,13.751181
1392.0274777297195,10271.899,13.750947
1392.0358112338436,10308.951,13.771635
1392.0441447384333,10311.026,13.75582
1392.0524782425566,10304.839,13.759724
1392.06081174668,10315.529,13.768658
1392.069145250804,10327.003,13.7702875
1392.0774787544626,10349.701,13.778131
1392.0858122585867,10329.326,13.785702
1392.0941457622444,10354.837,13.782398
1392.1024792659014,10337.425,13.783094
1392.1108127695597,10366.64,13.786781
1392.1191462732183,10335.164,13.779942
1392.127479776411,10377.208,13.802675
1392.135813279603,10376.685,13.799045
1392.1441467827958,10370.537,13.793309
1392.1538692031863,10359.264,13.786928
1392.162202706379,10410.307,13.81301
1392.1705362091063,10360.673,13.803348
1392.1788697118327,10393.956,13.804692
1392.1872032150254,10393.25,13.799668
1392.1955367172868,10404.409,13.810096
1392.2038702200125,10395.861,13.80312
1392.2122037227398,10394.016,13.806083
1392.2205372250012,10406.581,13.80006
1392.230259644461,10415.443,13.813889
1392.2385931467225,10424.43,13.820238
1392.2469266485182,10424.51,13.812468
1392.25803798471,10404.738,13.805981
1392.2677604037049,10426.123,13.817023
1392.2844274072963,10395.305,13.806875
1392.294149825825,10411.841,13.805944
1392.303872244352,10409.968,13.816459
1392.3122057456821,10385.798,13.804894
1392.3219281642114,10420.398,13.827578
1392.3302616650758,10382.222,13.797701
1392.3413730003376,10384.519,13.805657
1392.349706501202,10396.383,13.801767
1392.358040002065,10409.68,13.801951
1392.3663735029295,10367.867,13.788034
1392.3747070037934,10363.306,13.785786
1392.3830405046579,10380.757,13.789573
1392.3913740055223,10366.773,13.795938
1392.4024853393864,10367.106,13.790391
1392.4108188397845,10342.301,13.783167
1392.4191523401832,10341.985,13.771919
1392.4274858405822,10367.009,13.775816
1392.4358193405153,10352.998,13.787505
1392.444152840914,10364.116,13.781635
1392.4524863408474,10337.153,13.775917
1392.4608198407782,10336.767,13.772608
1392.4691533407115,10323.34,13.766941
1392.4788757569122,10330.317,13.782736
1392.4872092568455,10340.114,13.780984
1392.4955427563123,10321.633,13.761049
1392.5038762557797,10320.481,13.765432
1392.5122097552457,10295.976,13.760877
1392.5205432547132,10324.481,13.774051
1392.5288767541808,10318.061,13.772708
1392.537210253182,10295.649,13.764492
1392.5455437521837,10299.149,13.753047
1392.553877251651,10323.562,13.761642
1392.562210750186,10301.535,13.753951
1392.5705442491878,10309.01,13.757772
1392.5788777481896,10295.977,13.761924
1392.587211246726,10263.578,13.73805
1392.595544745262,10276.588,13.739725
1392.6038782442638,10299.898,13.748158
1392.6122117423342,10244.576,13.727871
1392.6205452408685,10261.392,13.733085
1392.6288787394046,10262.621,13.725998
1392.637212237475,10274.278,13.73465
1392.6455457355455,10262.554,13.723281
1392.6538792336155,10264.769,13.73789
1392.662212731686,10274.808,13.733831
1392.6733240622902,10269.935,13.735777
1392.6830464766279,10259.725,13.730634
1392.6913799742329,10243.516,13.7273655
1392.6997134718376,10237.512,13.714725
1392.7080469694424,10239.725,13.72633
1392.7163804670472,10219.804,13.725543
1392.7247139646515,10242.6455,13.7273
1392.73304746179,10277.402,13.738226
1392.7413809589284,10242.943,13.722658
1392.7497144565332,10234.479,13.723714
1392.7677703666136,10249.467,13.737852
1392.776103863752,10246.749,13.736594
1392.7844373604244,10258.67,13.743631
1392.7927708575635,10287.447,13.740641
1392.801104354237,10245.102,13.735542
1392.8094378509104,10269.715,13.746784
1392.8191602633854,10269.882,13.744632
1392.8274937600588,10291.449,13.753538
1392.8358272567325,10250.716,13.734535
1392.844160752939,10267.063,13.736162
1392.8524942491467,10261.592,13.746557
1392.8608277453538,10234.41,13.734282
1392.8691612415616,10286.343,13.7488365
1392.8774947377697,10275.1455,13.749246
1392.8858282339775,10272.388,13.750069
1392.8941617297196,10288.392,13.748625
1392.9024952254604,10293.406,13.7461605
1392.9108287212025,10292.631,13.761764
1392.9191622169446,10317.492,13.765043
1392.927495712687,10307.857,13.761473
1392.9358292084285,10322.517,13.768924
1392.944162703705,10331.227,13.767142
1392.952496199447,10301.749,13.759758
1392.9608296947224,10329.403,13.765305
1392.9691631899989,10340.931,13.777836
1392.9774966852747,10346.595,13.777338
1392.9858301805511,10335.148,13.7780485
